categorie,parametre,valeur,univers,horizon_j,n_obs,n_dates,mean_fwd_pct,mean_base_pct,mean_excess_pct,t_absolu,t_excess,hit_rate,hit_rate_base,edge_hit_pts,status
seuil_ext_short,ext_atr20,2.0,US500,20,3370,708,-0.3461,1.1413,-1.1998,-0.71,-3.5,52.76,58.25,-5.49,ok
seuil_ext_short,ext_atr20,2.5,US500,5,1098,419,-0.1208,0.2755,-0.3183,-0.53,-1.65,48.82,54.74,-5.92,ok
seuil_ext_short,ext_atr20,2.5,US500,10,1096,417,-0.0547,0.5687,-0.4221,-0.15,-1.41,49.09,56.07,-6.98,ok
seuil_ext_short,ext_atr20,2.5,US500,20,1077,407,-0.4329,1.1413,-1.3014,-0.61,-2.44,50.7,58.25,-7.55,ok
longueur_tendance_long,n_sma,100,US500,5,18328,1068,0.3029,0.2755,0.0652,2.6,1.02,56.87,54.74,2.13,ok
longueur_tendance_long,n_sma,100,US500,20,18143,1053,0.9994,1.1413,0.0934,2.77,0.52,61.5,58.25,3.25,ok
longueur_tendance_short,n_sma,100,US500,5,12729,1080,0.0098,0.2755,-0.1987,0.08,-2.2,52.88,54.74,-1.86,ok
longueur_tendance_short,n_sma,100,US500,20,12647,1065,0.3848,1.1413,-0.5946,0.98,-2.29,56.99,58.25,-1.26,ok
longueur_tendance_long,n_sma,100,SPX,5,462,462,0.6469,0.1496,0.4973,5.25,4.03,65.37,55.83,9.54,ok
longueur_tendance_long,n_sma,100,SPX,20,462,462,1.307,0.6024,0.7047,4.06,2.19,67.1,60.34,6.76,ok
longueur_tendance_short,n_sma,100,SPX,5,300,300,-0.0447,0.1496,-0.1943,-0.3,-1.3,56.67,55.83,0.84,ok
longueur_tendance_short,n_sma,100,SPX,20,299,299,0.412,0.6024,-0.1904,0.95,-0.44,62.88,60.34,2.54,ok
longueur_tendance_long,n_sma,100,BTC,5,140,140,2.6175,1.2904,1.3272,2.42,1.23,60.71,54.84,5.87,ok
longueur_tendance_long,n_sma,100,BTC,20,140,140,5.765,5.6943,0.0707,1.83,0.02,55.0,56.23,-1.23,ok
longueur_tendance_short,n_sma,100,BTC,5,152,152,0.1342,1.2904,-1.1562,0.13,-1.12,46.05,54.84,-8.79,ok
longueur_tendance_short,n_sma,100,BTC,20,152,152,1.0611,5.6943,-4.6332,0.42,-1.85,42.76,56.23,-13.46,ok
longueur_tendance_long,n_sma,150,US500,5,27049,1062,0.2977,0.2755,0.0595,2.62,1.03,57.38,54.74,2.64,ok
longueur_tendance_long,n_sma,150,US500,20,26814,1047,1.1612,1.1413,0.1961,3.17,1.06,62.0,58.25,3.76,ok
longueur_tendance_short,n_sma,150,US500,5,17568,1078,0.0154,0.2755,-0.2059,0.13,-2.51,52.23,54.74,-2.51,ok
longueur_tendance_short,n_sma,150,US500,20,17424,1063,0.2846,1.1413,-0.7372,0.71,-3.0,54.67,58.25,-3.57,ok
longueur_tendance_long,n_sma,150,SPX,5,709,709,0.5091,0.1496,0.3595,4.08,2.88,62.48,55.83,6.65,ok
longueur_tendance_long,n_sma,150,SPX,20,709,709,1.4818,0.6024,0.8794,4.6,2.73,69.68,60.34,9.34,ok
longueur_tendance_short,n_sma,150,SPX,5,423,423,0.0376,0.1496,-0.112,0.3,-0.88,54.85,55.83,-0.98,ok
