univers,condition,horizon_j,n_obs,n_dates,mean_fwd_pct,mean_base_pct,mean_excess_pct,t_absolu,t_excess,hit_rate,hit_rate_base,edge_hit_pts,status
US500,C2 lundi,10,114780,234,0.5587,0.5687,0.0,3.51,0.0,56.11,56.07,0.04,ok
US500,C2 lundi,20,114282,233,1.1151,1.1413,0.0,3.79,0.0,58.16,58.25,-0.08,ok
SPX,T1 tendance haussiere (C>SMA200),1,9944,9944,0.0387,0.0297,0.009,4.88,1.14,53.76,52.69,1.07,ok
SPX,T1 tendance haussiere (C>SMA200),3,9944,9944,0.1147,0.0896,0.0251,5.65,1.24,56.53,55.09,1.44,ok
SPX,T1 tendance haussiere (C>SMA200),5,9944,9944,0.1889,0.1496,0.0393,5.71,1.19,57.58,55.83,1.75,ok
SPX,T1 tendance haussiere (C>SMA200),10,9944,9944,0.3696,0.299,0.0706,5.76,1.1,59.91,57.95,1.96,ok
SPX,T1 tendance haussiere (C>SMA200),20,9943,9943,0.718,0.6024,0.1156,5.81,0.94,62.61,60.34,2.27,ok
SPX,T2 tendance baissiere (C<SMA200),1,4199,4199,0.0145,0.0297,-0.0152,0.67,-0.7,50.51,52.69,-2.18,ok
SPX,T2 tendance baissiere (C<SMA200),3,4197,4197,0.0489,0.0896,-0.0407,0.95,-0.79,52.16,55.09,-2.93,ok
SPX,T2 tendance baissiere (C<SMA200),5,4195,4195,0.0876,0.1496,-0.062,1.08,-0.77,52.42,55.83,-3.41,ok
SPX,T2 tendance baissiere (C<SMA200),10,4190,4190,0.1969,0.299,-0.1022,1.29,-0.67,54.2,57.95,-3.75,ok
SPX,T2 tendance baissiere (C<SMA200),20,4181,4181,0.4443,0.6024,-0.1581,1.46,-0.52,55.78,60.34,-4.56,ok
SPX,T3 momentum 12-1 positif,1,10339,10339,0.0384,0.0297,0.0087,4.38,1.0,53.72,52.69,1.03,ok
SPX,T3 momentum 12-1 positif,3,10337,10337,0.1092,0.0896,0.0197,5.02,0.9,56.04,55.09,0.95,ok
